,Name
325,Karakum (Dark Mummy)
326,Karl (Dark Neostone Fighter)
327,Karnal (Fire Slayer)
328,Kashmir (Wind Striker)
329,Katarina (Wind Valkyrja)
330,Kaz (Water Samurai)
331,Kernodon (Water Lizardman)
332,Khmun (Fire Anubis)
333,Kiki (Dark Mage)
334,Kinki (Light Onimusha)
335,Konamiya (Water Garuda)
336,Korona (Dark Brownie Magician)
337,Krakdon (Fire Salamander)
338,Kro (Dark Inugami)
339,Kroa (Dark Harg)
340,Kugo (Fire Golem)
341,Kuhn (Water Golem)
342,Kumae (Dark Yeti)
343,Kumar (Fire Beast Monk)
344,Kuna (Dark Penguin Knight)
345,Kunda (Water Yeti)
346,Kungen (Fire Bearman)
347,Kunite (Fire Gargoyle)
348,Kyle (Water Poison Master)
349,Lagmaron (Wind Chimera)
350,Laika (Fire Dragon Knight)
351,Laima (Light Oracle)
352,Lala And Friends (Fire Howl)
353,Lanett (Dark Magic Knight)
354,Lapis (Water Magic Knight)
355,Lariel (Water Blade Dancer)
356,Lavender (Dark Black Tea Bunny)
357,Leah (Light Blade Dancer)
358,Leo (Wind Dragon Knight)
359,Leona (Dark Paladin)
360,Lexy (Fire Assassin)
361,Liam (Water Weapon Master)
362,Liebli (Dark Joker)
363,Liesel (Water Vampire)
364,Linda (Light Mystic Witch)
365,Lindermen (Wind Garuda)
366,Ling (Wind Kung Fu GirlLing)
367,Lisa (Fire Neostone Agent)
368,Liu Mei (Light Kung Fu GirlLiu)
369,Lo (Wind Martial Artist)
370,Logan (Wind Neostone Fighter)
371,Loque (Dark Imp Champion)
372,Lora (Light Occult Girl)
373,Loren (Light Cow Girl)
374,Louis (Light Phantom Thief)
375,Louise (Wind Paladin)
376,Luan (Water Martial Artist)
377,Lucas (Light Neostone Fighter)
378,Lucasha (Fire Harpy)
379,Lucia (Fire Pudding Princess)
380,Lucien (Light Elven Ranger)
381,Lucifer (Light Demon)
382,Ludo (Fire Dice Magician)
383,Luer (Water Phantom Thief)
384,Lukan (Wind Salamander)
385,Lulu And Friends (Water Howl)
386,Lumirecia (Water Sylphid)
387,Luna (Dark Pierret)
388,Lupinus (Wind Magic Knight)
389,Lusha (Light Warbear)
390,Lushen (Wind Joker)
391,Lydia (Dark Polar Queen)
392,Lyn (Light Amazon)
393,M.BISON (Dark M.BISON)
394,M.BISON (Light M.BISON)
395,M.BISON (Water M.BISON)
396,M.BISON (Wind M.BISON)
397,M.BISON (Fire M.BISON)
398,Madeleine (Light Rune Blacksmith)
399,Madeleine Cookie (Dark Madeleine Cookie)
400,Madeleine Cookie (Water Madeleine Cookie)
401,Madeleine Cookie (Fire Madeleine Cookie)
402,Madeleine Cookie (Light Madeleine Cookie)
403,Madeleine Cookie (Wind Madeleine Cookie)
404,Maggi (Dark Golem)
405,Magnum (Light Sniper Mk. I)
406,Malaka (Water Kobold Bomber)
407,Malite (Wind Gargoyle)
408,Manannan (Dark Sea Emperor)
409,Manon (Water Macaron Guard)
410,Mantura (Dark Serpent)
411,Manx (Fire Hypnomeow)
412,Mao (Water Drunken Master)
413,Mara (Dark Amazon)
414,Marble (Light Battle Mammoth)
415,Martina (Dark Boomerang Warrior)
416,Maruna (Fire Boomerang Warrior)
417,Masha (Fire Beast Rider)
418,Mav (Wind Penguin Knight)
419,Maximilian (Dark Weapon Master)
420,Maya (Dark Totemist)
421,Megan (Water Mystic Witch)
422,Mei (Fire Martial Cat)
423,Mei Hou Wang (Fire Monkey KingMei Hou)
424,Melissa (Wind Chakram Dancer)
425,Mellia (Wind Dryad)
426,Mephisto (Wind Demon)
427,Mi Ying (Dark Panda WarriorMi)
428,Michelle (Wind Epikion Priest)
429,Mihael (Light Sylphid)
430,Miho (Dark Martial Cat)
431,Mihyang (Water Sky Dancer)
432,Mikene (Water Undine)
433,Miles (Water Sky Surfer)
434,Mimirr (Light Barbaric King)
435,Mina (Water Martial Cat)
436,Minato (Water Shadowcaster)
437,Miriam (Fire Rune Blacksmith)
438,Mirinae (Dark String Master)
439,Misty (Light Jack-o??lantern)
440,Mo Long (Water Panda WarriorMo)
441,Molly (Light Mermaid)
442,Momo (Wind Mage)
443,Monte (Dark Dice Magician)
444,Mookwol (Dark Art Master)
445,Moore (Water Striker)
446,Moria (Wind High Elemental)
447,Morris (Wind Dice Magician)
448,Naki (Fire Penguin Knight)
449,Namib (Wind Mummy)
450,Nana (Water Mage)
451,Nangrim (Fire Beast Hunter)
452,Naomi (Wind Martial Cat)
453,Narsha (Light Beast Rider)
454,Natalie (Light Assassin)
455,Neal (Light Fairy)
456,Nebelung (Wind Hypnomeow)
457,Nephthys (Dark Desert Queen)
458,Nickel (Water Living Armor)
459,Nicki (Dark Occult Girl)
460,Nigong (Light Pioneer)
461,Nisha (Fire Dryad)
462,Nora (Fire Totemist)
463,Nubia (Water Mummy)
464,Nyx (Dark Fairy King)
465,Oberon (Light Fairy King)
466,Odin (Wind Lightning Emperor)
467,Okeanos (Fire Sea Emperor)
468,Oliver (Wind Sky Surfer)
469,Olivia (Wind Neostone Agent)
470,Olivine (Wind Battle Mammoth)
471,Ongyouki (Dark Onimusha)
472,Onyx (Dark Gargoyle)
473,Ophilia (Fire Paladin)
474,Orion (Water Brownie Magician)
475,Orochi (Wind Ninja)
476,Pang (Light Rakshasa)
477,Pater (Dark Druid)
478,Pavé (Fire Choco Knight)
479,Perna (Fire Phoenix)
480,Phenaka (Light Gargoyle)
481,Pigma (Wind Imp Champion)
482,Platy (Fire Mermaid)
483,Pontos (Light Sea Emperor)
484,Poseidon (Water Sea Emperor)
485,Praha (Water Oracle)
486,Praline (Wind Choco Knight)
487,Prilea (Wind Harpy)
488,Priz (Light Elemental)
489,Prom (Light Grim Reaper)
490,Psamathe (Water Fairy King)
491,Pungbaek (Wind Pioneer)
492,Pure Vanilla Cookie (Dark Pure Vanilla Cookie)
493,Pure Vanilla Cookie (Wind Pure Vanilla Cookie)
494,Pure Vanilla Cookie (Light Pure Vanilla Cookie)
495,Pure Vanilla Cookie (Water Pure Vanilla Cookie)
496,Pure Vanilla Cookie (Fire Pure Vanilla Cookie)
497,Purian (Water Inferno)
498,Qebehsenuef (Water Horus)
499,Qitian Dasheng (Light Monkey KingQitian)
500,ROBO-E65 (Light ROBO)
501,ROBO-F29 (Dark ROBO)
502,ROBO-G92 (Wind ROBO)
503,ROBO-P27 (Fire ROBO)
504,ROBO-R40 (Water ROBO)
505,RYU (Light RYU)
506,RYU (Dark RYU)
507,RYU (Water RYU)
508,RYU (Fire RYU)
509,RYU (Wind RYU)
510,Racuni (Fire Harg)
511,Ragdoll (Dark Dragon Knight)
512,Ragion (Wind Golem)
513,Rahul (Dark Beast Monk)
514,Rakaja (Wind Yeti)
515,Rakan (Fire Chimera)
516,Raki (Fire Hell Lady)
517,Ralph (Wind Imp)
518,Ramagos (Wind Warbear)
519,Ramahan (Wind Inugami)
520,Ramira (Water Harpy)
521,Ran (Dark Rakshasa)
522,Randy (Fire Bounty Hunter)
523,Raoq (Fire Inugami)
524,Rasheed (Dark Epikion Priest)
525,Raviti (Wind Harg)
526,Rebecca (Fire Mystic Witch)
527,Remy (Water Harg)
528,Ren (Fire Shadowcaster)
529,Reno (Water Dice Magician)
530,Rica (Fire Occult Girl)
531,Rigel (Water Lich)
532,Riley (Wind Totemist)
533,Rina (Water Epikion Priest)
534,Ritesh (Wind Beast Monk)
535,Ritsu (Dark Shadowcaster)
536,Rizak (Dark Garuda)
537,Roger (Wind Bounty Hunter)
538,Roid (Wind Vagabond)
539,Rosemary (Water Black Tea Bunny)
540,Rumicus (Light Charger Shark)
541,Ryan (Water Neostone Fighter)
542,Sabrina (Water Boomerang Warrior)
543,Sagar (Wind Slayer)
544,Sahara (Light Mummy)
545,Sath (Fire Grim Reaper)
546,Savannah (Wind Beast Rider)
547,Scarlett (Fire Cannon Girl)
548,Seal (Wind Harpu)
549,Seara (Wind Oracle)
550,Seimei (Light Onmyouji)
551,Sekhmet (Fire Desert Queen)
552,Selena (Wind Succubus)
553,Sera (Water Cow Girl)
554,Seren (Dark Harpu)
555,Shaffron (Light Imp ChampionImp)
556,Shailoq (Water Serpent)
557,Shaina (Fire Chakram Dancer)
558,Shakan (Wind Werewolf)
559,Shamann (Light Griffon)
560,Shamar (Light Hellhound)
561,Shan (Light Chimera)
562,Shannon (Wind Pixie)
563,Sharman (Light Salamander)
564,Sharron (Water Magical Archer)
565,Shazam (Light Beast Monk)
566,Shi Hou (Water Monkey KingShi)
567,Shihwa (Fire Nine-tailed Fox)
568,Shimitae (Wind Sylph)
569,Shizuka (Water Onmyouji)
570,Shren (Light High Elemental)
571,Shumar (Dark Hellhound)
572,Shun (Light Shadowcaster)
573,Shushu And Friends (Light Howl)
574,Sia (Light Harpu)
575,Siamese (Light Hypnomeow)
576,Sian (Water Joker)
577,Sieq (Fire Hellhound)
578,Sige (Dark Samurai)
579,Sigmarus (Water Phoenix)
580,Silia (Wind Mystic Witch)
581,Silver (Light Living Armor)
582,Sin (Fire Martial Artist)
583,Sisroo (Water Harpu)
584,Skogul (Wind Giant Warrior)
585,Smokey (Fire Jack-o??lantern)
586,Soha (Water Nine-tailed Fox)
587,Son Zhang Lao (Dark Monkey KingSon Zhang)
588,Songseol (Water String Master)
589,Sonia (Wind Battle Angel)
590,Sonnet (Water Harp Magician)
591,Sonora (Fire Mummy)
592,Sophia (Wind Pierret)
593,Sorin (Dark Fairy)
594,Spectra (Fire Griffon)
595,Stella (Water Assassin)
596,Su (Water Rakshasa)
597,Suiki (Water Onimusha)
598,Suri (Wind Beast Hunter)
599,Surtr (Fire Barbaric King)
600,Susan (Water Rune Blacksmith)
601,Susano (Water Ninja)
602,Sylvia (Dark Neostone Agent)
603,Tablo (Light Dice Magician)
604,Tagaros (Fire Inferno)
605,Taharus (Wind Elemental)
606,Talc (Water Battle Mammoth)
607,Talia (Water Chakram Dancer)
608,Talisman (Light Striker)
609,Tantra (Fire Yeti)
610,Tanya (Wind Assassin)
611,Tanzaite (Water Gargoyle)
612,Taor (Water Chimera)
613,Taranys (Wind Druid)
614,Tarq (Water Hellhound)
615,Taru (Light Imp)
616,Tatu (Fire Pixie)
617,Taurus (Wind Kobold Bomber)
618,Teon (Light Garuda)
619,Tesarion (Fire Ifrit)
620,Teshar (Wind Phoenix)
621,Tetra (Water Mermaid)
622,Thebae (Dark Anubis)
623,Theomars (Water Ifrit)
624,Thomas (Wind Lollipop Warrior)
625,Thrain (Dark Grim Reaper)
626,Tian Lang (Light Panda WarriorTian)
627,Tiana (Wind Polar Queen)
628,Tien Qin (Light Drunken MasterTien)
629,Tilasha (Dark Undine)
630,Todd (Fire Poison Master)
631,Toma (Water Penguin Knight)
632,Tomoe (Fire Onmyouji)
633,Tosi (Light Samurai)
634,Tractor (Water Frankenstein)
635,Trasar (Dark Giant Warrior)
636,Trevor (Fire Neostone Fighter)
637,Triana (Wind Harp Magician)
638,Trinity (Dark Valkyrja)
639,Triton (Wind Sea Emperor)
640,Truffle (Dark Choco Knight)
641,Tyron (Water Sylph)
642,Ursha (Fire Warbear)
643,Urtau (Water Minotauros)
644,Valantis (Light Druid)
645,Vancliffe (Dark Striker)
646,Vanessa (Fire Valkyrja)
647,Varus (Dark Griffon)
648,Velajuel (Fire Archangel)
649,Velfinodon (Wind Lizardman)
650,Verad (Water Dragon)
651,Verdehile (Fire Vampire)
652,Vereesa (Dark Blade Dancer)
653,Veromos (Dark Ifrit)
654,Veronica (Light Battle Angel)
655,Vidurr (Fire Giant Warrior)
656,Vigor (Water Werewolf)
657,Vivachel (Dark Harp Magician)
658,Walkers (Light Bounty Hunter)
659,Walter (Wind Viking)
660,Wayne (Water Bounty Hunter)
661,Wedjat (Light Horus)
662,Wei Shin (Dark Drunken MasterWei)
663,Windy (Wind Jack-o??lantern)
664,Wolyung (Dark Sky Dancer)
665,Woochi (Wind Taoist)
666,Woonhak (Dark Taoist)
667,Woonsa (Dark Pioneer)
668,Woosa (Water Pioneer)
669,Xiana (Dark Beast Rider)
670,Xiao Chun (Fire Drunken MasterXiao)
671,Xiao Lin (Water Kung Fu GirlXiao)
672,Xiao Ling (Light Martial CatXiao)
673,Xing Zhe (Wind Monkey KingXing)
674,Xiong Fei (Fire Panda WarriorXiong)
675,Yaku (Water Imp Champion)
676,Yen (Wind Rakshasa)
677,Yeonhong (Light Sky Dancer)
678,Yeonhwa (Wind String Master)
679,Zaiross (Fire Dragon)
680,Zen (Wind Shadowcaster)
681,Zenobia (Wind Boomerang Warrior)
682,Zephicus (Wind Charger Shark)
683,Zerath (Light Dragon)
684,Zeratu (Dark Chimera)
685,Zibrolta (Fire Kobold Bomber)
686,Zinc (Dark Living Armor)
